id,bairro,classificacao,latitude,longitude,populacao,risco
362,Litoral Paulista,Deslizamento,-23.4972,-48.0547,196.944,47
363,Franco da Rocha,Deslizamento,-23.3297,-46.7295,164.606,50
364,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5846,-46.5758,540.893,30
365,Litoral Paulista,Deslizamento,-23.4937,-48.0587,189.592,49
366,Franco da Rocha,Deslizamento,-23.3201,-46.7279,165.199,50
367,Litoral Paulista,Deslizamento,-23.5069,-48.0516,186.455,48
368,Mairiporã,Deslizamento,-23.2025,-46.3541,92.934,82
369,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5741,-46.5797,508.668,28
370,Avenida Aricanduva,Inundação,-23.572,-46.508,302.518,26
371,Litoral Paulista,Deslizamento,-23.497,-48.0586,202.352,52
372,Franco da Rocha,Deslizamento,-23.3169,-46.735,141.265,50
373,Mairiporã,Deslizamento,-23.1962,-46.3555,94.88,82
374,Litoral Paulista,Deslizamento,-23.4962,-48.0495,184.804,52
375,Litoral Paulista,Deslizamento,-23.5065,-48.0577,217.491,47
376,Litoral Paulista,Deslizamento,-23.4948,-48.0493,212.737,52
377,Avenida Aricanduva,Inundação,-23.5681,-46.5128,254.839,26
378,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.575,-46.5814,470.829,30
379,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5804,-46.582,562.909,29
380,Avenida Aricanduva,Inundação,-23.5594,-46.5137,300.361,23
381,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.58,-46.5795,504.872,32
382,Mairiporã,Deslizamento,-23.1984,-46.3544,85.535,81
383,Mairiporã,Deslizamento,-23.2082,-46.3482,93.318,80
384,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5797,-46.5771,444.879,32
385,Franco da Rocha,Deslizamento,-23.3152,-46.7272,155.03,52
386,Litoral Paulista,Deslizamento,-23.5029,-48.0466,219.732,51
387,Litoral Paulista,Deslizamento,-23.5061,-48.0541,200.567,53
388,Avenida Aricanduva,Inundação,-23.5717,-46.5046,235.838,25
389,Litoral Paulista,Deslizamento,-23.493,-48.0478,186.852,53
390,Litoral Paulista,Deslizamento,-23.5077,-48.0522,192.08,53
391,Mairiporã,Deslizamento,-23.202,-46.3562,89.375,82
392,Mairiporã,Deslizamento,-23.1989,-46.3494,91.887,83
393,Mairiporã,Deslizamento,-23.2083,-46.3581,106.132,82
394,Mairiporã,Deslizamento,-23.2082,-46.3482,101.3,80
395,Franco da Rocha,Deslizamento,-23.3263,-46.7315,135.536,50
396,Avenida Aricanduva,Inundação,-23.5594,-46.5054,289.309,28
397,Litoral Paulista,Deslizamento,-23.5023,-48.0534,199.097,53
398,Litoral Paulista,Deslizamento,-23.5018,-48.0464,185.1,52
399,Mairiporã,Deslizamento,-23.2043,-46.3467,100.246,83
400,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.587,-46.5804,473.525,28
401,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5799,-46.5871,434.693,30
402,Franco da Rocha,Deslizamento,-23.3282,-46.7262,148.185,50
403,Litoral Paulista,Deslizamento,-23.5002,-48.0594,189.67,50
404,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5824,-46.5843,484.171,32
405,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5774,-46.576,568.3,27
406,Franco da Rocha,Deslizamento,-23.3149,-46.7221,131.149,47
407,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5751,-46.5863,542.176,30
408,Mairiporã,Deslizamento,-23.2031,-46.3531,96.371,77
409,Franco da Rocha,Deslizamento,-23.3289,-46.7267,134.473,50
410,Franco da Rocha,Deslizamento,-23.3229,-46.7342,129.419,53
411,Mairiporã,Deslizamento,-23.2005,-46.3465,86.252,77
412,Litoral Paulista,Deslizamento,-23.4999,-48.0556,197.915,50
413,Mairiporã,Deslizamento,-23.1955,-46.3442,106.166,79
414,Mairiporã,Deslizamento,-23.2044,-46.3505,107.536,78
415,Avenida Aricanduva,Inundação,-23.5586,-46.5045,244.282,22
416,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5793,-46.5901,463.312,30
417,Franco da Rocha,Deslizamento,-23.3197,-46.7265,129.596,48
418,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5772,-46.5856,571.996,32
419,Litoral Paulista,Deslizamento,-23.4987,-48.0498,218.925,50
420,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.588,-46.5849,564.213,33
421,Franco da Rocha,Deslizamento,-23.324,-46.7281,147.51,47
422,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5749,-46.5864,443.225,29
423,Franco da Rocha,Deslizamento,-23.3197,-46.7304,164.481,53
424,Franco da Rocha,Deslizamento,-23.3259,-46.7263,156.374,52
425,Litoral Paulista,Deslizamento,-23.4923,-48.0498,203.672,53
426,Avenida Aricanduva,Inundação,-23.5721,-46.5119,286.204,22
427,Avenida Aricanduva,Inundação,-23.5723,-46.5144,236.612,28
428,Avenida Aricanduva,Inundação,-23.5599,-46.5136,266.467,25
429,Litoral Paulista,Deslizamento,-23.5014,-48.0497,214.82,49
430,Mairiporã,Deslizamento,-23.2086,-46.3578,100.1,77
431,Litoral Paulista,Deslizamento,-23.5054,-48.0544,170.73,47
432,Avenida Aricanduva,Inundação,-23.5614,-46.5011,234.014,23
433,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5867,-46.5814,534.961,33
434,Mairiporã,Deslizamento,-23.208,-46.3536,106.164,80
435,Avenida Aricanduva,Inundação,-23.5729,-46.5048,228.918,22
436,Franco da Rocha,Deslizamento,-23.3147,-46.7291,142.44,49
437,Mairiporã,Deslizamento,-23.1951,-46.3534,96.327,80
438,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5758,-46.5808,483.729,31
439,Litoral Paulista,Deslizamento,-23.5075,-48.0591,181.06,51
440,Avenida Aricanduva,Inundação,-23.5666,-46.503,266.807,24
441,Litoral Paulista,Deslizamento,-23.4987,-48.0528,203.843,52
442,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5804,-46.5807,428.44,29
443,Franco da Rocha,Deslizamento,-23.3198,-46.7326,159.049,50
444,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5787,-46.5777,502.59,31
445,Avenida Aricanduva,Inundação,-23.571,-46.5052,244.921,28
446,Avenida Aricanduva,Inundação,-23.572,-46.5042,287.274,22
447,Avenida Aricanduva,Inundação,-23.5682,-46.5142,276.977,25
448,Mairiporã,Deslizamento,-23.2,-46.3434,105.091,83
449,Franco da Rocha,Deslizamento,-23.3148,-46.7318,153.195,48
450,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5874,-46.5791,512.872,32
451,Litoral Paulista,Deslizamento,-23.4968,-48.0469,217.172,49
452,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5764,-46.5867,481.537,31
453,Avenida Aricanduva,Inundação,-23.5602,-46.5097,264.641,27
454,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5887,-46.5787,499.469,27
455,Franco da Rocha,Deslizamento,-23.3299,-46.7341,137.856,50
456,Avenida Aricanduva,Inundação,-23.5666,-46.5022,263.77,26
457,Avenida Aricanduva,Inundação,-23.5723,-46.5164,248.102,28
458,Avenida Aricanduva,Inundação,-23.5604,-46.5014,255.722,28
459,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5765,-46.586,448.457,30
460,Mairiporã,Deslizamento,-23.21,-46.3448,87.247,80
461,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5834,-46.5847,559.975,28
462,Mairiporã,Deslizamento,-23.1956,-46.3503,110.656,78
463,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5833,-46.5861,534.623,28
464,Litoral Paulista,Deslizamento,-23.5039,-48.0513,182.068,47
465,Mairiporã,Deslizamento,-23.2061,-46.3441,111.552,81
466,Franco da Rocha,Deslizamento,-23.3296,-46.7235,146.545,47
467,Franco da Rocha,Deslizamento,-23.3216,-46.7332,166.473,48
468,Mairiporã,Deslizamento,-23.2099,-46.348,99.113,82
469,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5822,-46.5876,566.855,27
470,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5884,-46.5765,494.024,33
471,Avenida Aricanduva,Inundação,-23.572,-46.5088,290.451,23
472,Mairiporã,Deslizamento,-23.2102,-46.3467,89.07,83
473,Litoral Paulista,Deslizamento,-23.5054,-48.0565,215.62,52
474,Litoral Paulista,Deslizamento,-23.4974,-48.0592,185.515,51
475,Franco da Rocha,Deslizamento,-23.321,-46.723,152.854,48
476,Franco da Rocha,Deslizamento,-23.3285,-46.7295,140.435,48
477,Avenida Aricanduva,Inundação,-23.5602,-46.511,262.145,24
478,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5885,-46.5832,454.341,30
479,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5885,-46.5846,538.622,31
480,Litoral Paulista,Deslizamento,-23.503,-48.0515,181.932,52
481,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5875,-46.5792,543.989,33
482,Mairiporã,Deslizamento,-23.2052,-46.3449,88.116,82
483,Franco da Rocha,Deslizamento,-23.3204,-46.7345,144.097,50
484,Mairiporã,Deslizamento,-23.206,-46.3465,111.564,79
485,Franco da Rocha,Deslizamento,-23.3171,-46.7269,171.295,53
486,Litoral Paulista,Deslizamento,-23.4923,-48.0511,208.288,50
487,Avenida Aricanduva,Inundação,-23.5589,-46.5102,239.046,24
488,Litoral Paulista,Deslizamento,-23.499,-48.0534,213.374,48
489,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5887,-46.5786,453.112,31
490,Franco da Rocha,Deslizamento,-23.3169,-46.7263,159.717,50
491,Franco da Rocha,Deslizamento,-23.3225,-46.7219,148.405,51
492,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5769,-46.5762,503.815,31
493,Avenida Aricanduva,Inundação,-23.5598,-46.5154,245.242,25
494,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5844,-46.5831,537.324,27
495,Franco da Rocha,Deslizamento,-23.3165,-46.7275,171.835,49
496,Franco da Rocha,Deslizamento,-23.328,-46.7242,142.358,50
497,Franco da Rocha,Deslizamento,-23.3195,-46.7191,130.98,53
498,Mairiporã,Deslizamento,-23.1999,-46.3511,92.121,83
499,Litoral Paulista,Deslizamento,-23.5075,-48.0569,209.399,52
500,Avenida Aricanduva,Inundação,-23.5591,-46.5047,289.018,26
501,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5796,-46.5763,425.028,29
502,Mairiporã,Deslizamento,-23.2048,-46.3532,89.814,81
503,Mairiporã,Deslizamento,-23.2044,-46.3465,97.221,77
504,Franco da Rocha,Deslizamento,-23.3233,-46.7346,171.256,52
505,Franco da Rocha,Deslizamento,-23.3253,-46.7204,161.688,47
506,Avenida Aricanduva,Inundação,-23.5727,-46.5016,284.088,24
507,Avenida Aricanduva,Inundação,-23.5597,-46.5125,295.746,27
508,Litoral Paulista,Deslizamento,-23.4993,-48.0603,184.698,47
509,Avenida Aricanduva,Inundação,-23.5682,-46.5074,249.82,24
510,Franco da Rocha,Deslizamento,-23.3292,-46.7206,166.118,47
511,Litoral Paulista,Deslizamento,-23.4985,-48.0475,181.301,53
512,Litoral Paulista,Deslizamento,-23.4946,-48.0572,195.947,49
513,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5808,-46.5798,462.846,31
514,Mairiporã,Deslizamento,-23.2032,-46.3475,98.576,77
515,Avenida Aricanduva,Inundação,-23.5591,-46.516,302.375,26
516,Avenida Aricanduva,Inundação,-23.5584,-46.5096,237.074,24
517,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5874,-46.5876,567.216,32
518,Avenida Aricanduva,Inundação,-23.5604,-46.5068,280.079,25
519,Avenida Aricanduva,Inundação,-23.5693,-46.5044,303.567,25
520,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5857,-46.5827,572.576,33
521,Franco da Rocha,Deslizamento,-23.33,-46.7344,154.932,49
522,Mairiporã,Deslizamento,-23.2066,-46.3438,92.885,77
523,Mairiporã,Deslizamento,-23.2079,-46.3495,91.398,77
524,Litoral Paulista,Deslizamento,-23.4994,-48.0481,173.143,49
525,Avenida Aricanduva,Inundação,-23.5713,-46.5116,290.146,22
526,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5853,-46.5754,484.552,31
527,Franco da Rocha,Deslizamento,-23.3201,-46.7332,143.265,53
528,Franco da Rocha,Deslizamento,-23.3295,-46.7242,129.727,49
529,Litoral Paulista,Deslizamento,-23.4931,-48.0592,193.586,49
530,Avenida Aricanduva,Inundação,-23.5589,-46.5063,246.702,26
531,Franco da Rocha,Deslizamento,-23.3168,-46.7197,164.718,47
532,Mairiporã,Deslizamento,-23.211,-46.3478,107.509,77
533,Avenida Aricanduva,Inundação,-23.562,-46.5152,256.73,28
534,Avenida Aricanduva,Inundação,-23.5671,-46.5151,259.532,25
535,Franco da Rocha,Deslizamento,-23.3289,-46.7337,143.695,53
536,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5793,-46.5794,479.288,29
537,Litoral Paulista,Deslizamento,-23.5078,-48.0516,225.022,47
538,Avenida Aricanduva,Inundação,-23.5703,-46.5068,285.23,26
539,Mairiporã,Deslizamento,-23.2025,-46.357,83.503,82
540,Avenida Aricanduva,Inundação,-23.5683,-46.5092,272.161,23
541,Litoral Paulista,Deslizamento,-23.506,-48.0529,190.781,53
542,Franco da Rocha,Deslizamento,-23.3289,-46.7288,166.099,50
543,Mairiporã,Deslizamento,-23.2098,-46.3506,108.452,82
544,Avenida Aricanduva,Inundação,-23.5694,-46.5109,262.02,25
545,Franco da Rocha,Deslizamento,-23.3231,-46.7299,153.946,48
546,Mairiporã,Deslizamento,-23.2014,-46.348,103.365,83
547,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5873,-46.5834,446.389,27
548,Franco da Rocha,Deslizamento,-23.3149,-46.7296,151.018,48
549,Avenida Aricanduva,Inundação,-23.5729,-46.5108,289.279,24
550,Franco da Rocha,Deslizamento,-23.3284,-46.7214,151.642,50
551,Avenida Aricanduva,Inundação,-23.564,-46.5153,239.455,23
552,Litoral Paulista,Deslizamento,-23.5043,-48.0462,202.117,51
553,Avenida Aricanduva,Inundação,-23.5714,-46.5137,299.966,24
554,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5837,-46.5853,447.059,31
555,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5756,-46.5884,568.388,31
556,Mairiporã,Deslizamento,-23.1968,-46.3497,107.424,77
557,Litoral Paulista,Deslizamento,-23.5034,-48.0464,193.562,51
558,Avenida Aricanduva,Inundação,-23.5573,-46.5094,268.574,26
559,Litoral Paulista,Deslizamento,-23.4947,-48.0548,188.328,51
560,Mairiporã,Deslizamento,-23.2082,-46.3512,103.041,81
561,Avenida Aricanduva,Inundação,-23.5597,-46.5083,239.286,28
562,Litoral Paulista,Deslizamento,-23.5009,-48.0518,199.533,49
563,Litoral Paulista,Deslizamento,-23.4921,-48.0477,207.612,47
564,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5826,-46.5786,447.198,31
565,Franco da Rocha,Deslizamento,-23.3186,-46.7205,133.671,49
566,Litoral Paulista,Deslizamento,-23.4984,-48.0561,197.705,52
567,Litoral Paulista,Deslizamento,-23.4961,-48.053,173.638,50
568,Franco da Rocha,Deslizamento,-23.316,-46.7199,134.411,49
569,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5743,-46.5826,554.532,33
570,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5821,-46.5819,509.407,33
571,Mairiporã,Deslizamento,-23.2028,-46.3514,100.103,79
572,Litoral Paulista,Deslizamento,-23.4923,-48.0553,219.871,53
573,Avenida Aricanduva,Inundação,-23.5601,-46.5094,305.591,25
574,Litoral Paulista,Deslizamento,-23.501,-48.0482,223.809,49
575,Mairiporã,Deslizamento,-23.2038,-46.3511,101.551,83
576,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5824,-46.5793,533.406,32
577,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5878,-46.5855,478.807,28
578,Franco da Rocha,Deslizamento,-23.3255,-46.7316,170.859,53
579,Mairiporã,Deslizamento,-23.195,-46.3485,107.476,83
580,Mairiporã,Deslizamento,-23.1992,-46.346,104.893,81
581,Litoral Paulista,Deslizamento,-23.4959,-48.0495,209.722,53
582,Franco da Rocha,Deslizamento,-23.3165,-46.7252,131.698,47
583,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5888,-46.5838,486.066,32
584,Mairiporã,Deslizamento,-23.2054,-46.3575,106.882,81
585,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5899,-46.5887,555.342,28
586,Franco da Rocha,Deslizamento,-23.322,-46.7223,159.575,50
587,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5888,-46.5839,469.294,30
588,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5855,-46.5774,564.384,32
589,Mairiporã,Deslizamento,-23.2106,-46.35,107.88,77
590,Franco da Rocha,Deslizamento,-23.3265,-46.7345,137.379,49
591,Franco da Rocha,Deslizamento,-23.3178,-46.732,160.148,52
592,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5806,-46.5803,435.766,28
593,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5786,-46.5771,545.594,32
594,Avenida Aricanduva,Inundação,-23.5707,-46.5046,247.758,28
595,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5879,-46.5802,433.15,30
596,Franco da Rocha,Deslizamento,-23.3249,-46.735,150.743,48
597,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5856,-46.579,434.403,28
598,Franco da Rocha,Deslizamento,-23.3246,-46.72,131.433,50
599,Mairiporã,Deslizamento,-23.1978,-46.3572,99.742,78
600,Avenida Aricanduva,Inundação,-23.5639,-46.5025,301.35,24
601,Franco da Rocha,Deslizamento,-23.324,-46.72,158.135,47
602,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5893,-46.5813,564.526,27
603,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5878,-46.5862,556.327,31
604,Franco da Rocha,Deslizamento,-23.3255,-46.7329,158.179,47
605,Franco da Rocha,Deslizamento,-23.3283,-46.7225,156.738,48
606,Franco da Rocha,Deslizamento,-23.3242,-46.7197,150.259,47
607,Mairiporã,Deslizamento,-23.2037,-46.356,93.981,80
608,Franco da Rocha,Deslizamento,-23.3292,-46.7227,146.478,51
609,Avenida Aricanduva,Inundação,-23.5594,-46.5136,278.557,24
610,Franco da Rocha,Deslizamento,-23.3173,-46.7229,129.325,47
611,Avenida Aricanduva,Inundação,-23.5612,-46.5119,277.558,26
612,Avenida Aricanduva,Inundação,-23.5616,-46.5138,297.139,25
613,Mairiporã,Deslizamento,-23.2051,-46.3584,86.433,78
614,Litoral Paulista,Deslizamento,-23.5037,-48.0484,171.052,51
615,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5897,-46.5883,487.046,27
616,Mairiporã,Deslizamento,-23.2045,-46.3508,100.627,81
617,Mairiporã,Deslizamento,-23.197,-46.3586,94.831,77
618,Avenida Aricanduva,Inundação,-23.5657,-46.5127,243.64,25
619,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5763,-46.5811,436.458,33
620,Franco da Rocha,Deslizamento,-23.3281,-46.7308,128.496,51
621,Franco da Rocha,Deslizamento,-23.3176,-46.7267,143.394,52
622,Avenida Aricanduva,Inundação,-23.573,-46.5122,277.687,28
623,Avenida Aricanduva,Inundação,-23.5594,-46.5166,297.805,22
624,Franco da Rocha,Deslizamento,-23.3253,-46.7317,134.571,49
625,Litoral Paulista,Deslizamento,-23.5043,-48.0579,199.244,53
626,Avenida Aricanduva,Inundação,-23.5654,-46.5161,302.532,22
627,Litoral Paulista,Deslizamento,-23.4995,-48.0514,208.884,50
628,Franco da Rocha,Deslizamento,-23.3267,-46.7234,155.638,47
629,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5764,-46.5853,466.436,31
630,Litoral Paulista,Deslizamento,-23.4996,-48.0473,180.013,49
631,Mairiporã,Deslizamento,-23.198,-46.3441,93.061,82
632,Avenida Aricanduva,Inundação,-23.5644,-46.516,281.162,23
633,Franco da Rocha,Deslizamento,-23.3151,-46.727,138.083,52
634,Franco da Rocha,Deslizamento,-23.3147,-46.7265,138.608,51
635,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5791,-46.5891,466.206,32
636,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5813,-46.5874,493.79,29
637,Litoral Paulista,Deslizamento,-23.5003,-48.0474,210.671,47
638,Mairiporã,Deslizamento,-23.1983,-46.3456,90.262,82
639,Franco da Rocha,Deslizamento,-23.3268,-46.7198,172.544,49
640,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5816,-46.5868,493.845,28
641,Mairiporã,Deslizamento,-23.2082,-46.3559,83.542,82
642,Avenida Aricanduva,Inundação,-23.5597,-46.5053,254.432,22
643,Mairiporã,Deslizamento,-23.2047,-46.3441,111.543,81
644,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5824,-46.5788,462.101,27
645,Mairiporã,Deslizamento,-23.2003,-46.3567,99.745,82
646,Litoral Paulista,Deslizamento,-23.5,-48.0616,170.713,51
647,Avenida Aricanduva,Inundação,-23.5582,-46.5133,276.722,23
648,Avenida Aricanduva,Inundação,-23.5702,-46.5088,290.6,27
649,Litoral Paulista,Deslizamento,-23.5041,-48.0554,223.902,51
650,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5756,-46.5878,573.513,28
651,Mairiporã,Deslizamento,-23.2031,-46.3511,97.293,79
652,Avenida Aricanduva,Inundação,-23.5715,-46.5165,230.705,28
653,Mairiporã,Deslizamento,-23.2066,-46.3493,112.288,81
654,Avenida Aricanduva,Inundação,-23.5638,-46.5104,293.712,22
655,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.576,-46.5747,429.128,29
656,Mairiporã,Deslizamento,-23.199,-46.3556,111.228,82
657,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5791,-46.5867,489.707,29
658,Mairiporã,Deslizamento,-23.2042,-46.3541,107.804,81
659,Avenida Aricanduva,Inundação,-23.5661,-46.5025,293.599,26
660,Litoral Paulista,Deslizamento,-23.4958,-48.0486,223.557,48
661,Avenida Aricanduva,Inundação,-23.5697,-46.5129,249.696,28
662,Avenida Aricanduva,Inundação,-23.5628,-46.5112,249.66,24
663,Litoral Paulista,Deslizamento,-23.5006,-48.0603,219.824,53
664,Litoral Paulista,Deslizamento,-23.4964,-48.0494,191.347,50
665,Mairiporã,Deslizamento,-23.2027,-46.3519,84.492,80
666,Litoral Paulista,Deslizamento,-23.5074,-48.0598,216.149,47
667,Litoral Paulista,Deslizamento,-23.5013,-48.0534,173.451,48
668,Litoral Paulista,Deslizamento,-23.5031,-48.0581,170.259,53
669,Avenida Aricanduva,Inundação,-23.5575,-46.5134,279.011,28
670,Franco da Rocha,Deslizamento,-23.3164,-46.7282,141.359,52
671,Litoral Paulista,Deslizamento,-23.4966,-48.0487,181.078,52
672,Mairiporã,Deslizamento,-23.195,-46.3528,89.631,82
673,Litoral Paulista,Deslizamento,-23.4993,-48.0594,193.034,53
674,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5787,-46.5876,542.095,27
675,Franco da Rocha,Deslizamento,-23.3148,-46.7343,139.664,50
676,Avenida Aricanduva,Inundação,-23.5629,-46.5149,270.795,22
677,Franco da Rocha,Deslizamento,-23.3187,-46.7322,171.534,53
678,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5788,-46.5789,494.257,27
679,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5783,-46.5765,466.111,29
680,Franco da Rocha,Deslizamento,-23.3269,-46.7295,142.832,50
681,Litoral Paulista,Deslizamento,-23.4943,-48.0506,213.837,53
682,Litoral Paulista,Deslizamento,-23.4928,-48.0539,193.024,53
683,Avenida Aricanduva,Inundação,-23.5604,-46.5052,256.772,24
684,Mairiporã,Deslizamento,-23.1976,-46.3591,103.814,82
685,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.583,-46.5865,530.731,29
686,Franco da Rocha,Deslizamento,-23.3215,-46.7263,147.068,51
687,Mairiporã,Deslizamento,-23.2033,-46.3574,111.381,82
688,Mairiporã,Deslizamento,-23.1958,-46.3557,108.969,77
689,Avenida Aricanduva,Inundação,-23.5622,-46.507,251.361,27
690,Mairiporã,Deslizamento,-23.203,-46.3582,92.342,83
691,Mairiporã,Deslizamento,-23.1974,-46.3436,101.592,80
692,Avenida Aricanduva,Inundação,-23.57,-46.5167,257.276,26
693,Mairiporã,Deslizamento,-23.2044,-46.3443,95.796,80
694,Litoral Paulista,Deslizamento,-23.5069,-48.0493,187.333,47
695,Mairiporã,Deslizamento,-23.2002,-46.3581,89.188,83
696,Avenida Aricanduva,Inundação,-23.5573,-46.5044,284.632,28
697,Mairiporã,Deslizamento,-23.1984,-46.3497,112.227,78
698,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5754,-46.5901,492.517,28
699,Franco da Rocha,Deslizamento,-23.3284,-46.7262,171.829,47
700,Litoral Paulista,Deslizamento,-23.505,-48.0525,182.449,47
701,Avenida Aricanduva,Inundação,-23.5718,-46.5073,267.34,24
702,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5854,-46.5798,570.281,29
703,Mairiporã,Deslizamento,-23.2098,-46.3441,91.885,82
704,Avenida Aricanduva,Inundação,-23.5634,-46.507,277.851,27
705,Litoral Paulista,Deslizamento,-23.5078,-48.0464,185.239,48
706,Franco da Rocha,Deslizamento,-23.3187,-46.7252,141.808,50
707,Mairiporã,Deslizamento,-23.2014,-46.3454,110.947,78
708,Franco da Rocha,Deslizamento,-23.3275,-46.7199,160.902,51
709,Mairiporã,Deslizamento,-23.1986,-46.3493,94.124,81
710,Avenida Aricanduva,Inundação,-23.563,-46.5108,300.814,22
711,Avenida Aricanduva,Inundação,-23.558,-46.5135,284.013,27
712,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5782,-46.5869,524.749,28
713,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5781,-46.5851,558.509,31
714,Franco da Rocha,Deslizamento,-23.3231,-46.7309,147.284,47
715,Mairiporã,Deslizamento,-23.2109,-46.3499,101.16,77
716,Franco da Rocha,Deslizamento,-23.3261,-46.7236,131.824,47
717,Litoral Paulista,Deslizamento,-23.494,-48.05,170.996,53
718,Franco da Rocha,Deslizamento,-23.3266,-46.7307,138.863,49
719,Litoral Paulista,Deslizamento,-23.5012,-48.0584,206.032,48
720,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5758,-46.5842,499.025,33
721,Litoral Paulista,Deslizamento,-23.4954,-48.0554,201.017,53
722,Mairiporã,Deslizamento,-23.2027,-46.3582,94.052,77
723,Litoral Paulista,Deslizamento,-23.4986,-48.0532,186.317,50
724,Franco da Rocha,Deslizamento,-23.3157,-46.7243,163.194,51
725,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5799,-46.5863,530.819,28
